name,age,nationality,height_cm,weight_kg,overall,position,pace,shooting,passing,dribbling,defending,physical,stamina,strength,agility,vision,preferred_foot_encoded,height_cm_norm
K. Mbappé,24,France,182,75,91,ST,97,90,80,92,36,78,88,77,93,83,1.0,1.82
E. Haaland,22,Norway,195,94,91,ST,89,93,66,80,45,88,76,93,76,74,0.0,1.95
K. De Bruyne,32,Belgium,181,75,91,CM,72,88,94,87,65,78,88,74,74,95,1.0,1.81
K. Benzema,35,France,185,81,90,CF,79,88,83,87,39,78,82,82,77,90,1.0,1.85
L. Messi,36,Argentina,169,67,90,CF,80,87,90,94,33,64,70,68,91,92,0.0,1.69
R. Lewandowski,34,Poland,185,81,90,ST,75,91,80,87,44,84,76,89,77,81,1.0,1.85
T. Courtois,31,Belgium,199,96,90,GK,70,81,76,63,90,70,38,70,63,44,0.0,1.99
H. Kane,29,England,188,85,90,ST,69,93,84,83,49,83,83,84,66,87,1.0,1.88
V. van Dijk,31,Netherlands,193,92,89,CB,78,60,71,72,89,86,72,93,59,65,1.0,1.93
M. ter Stegen,31,Germany,187,85,89,GK,69,87,89,39,88,78,35,78,39,70,1.0,1.87
Neymar Jr,31,Brazil,175,68,89,LW,86,83,85,93,37,61,78,51,93,90,1.0,1.75
M. Salah,31,Egypt,175,71,89,RW,89,87,81,88,45,76,87,75,89,84,0.0,1.75
Rodri,27,Spain,191,82,89,CDM,58,73,80,80,85,84,89,83,65,82,1.0,1.91
Rúben Dias,26,Portugal,187,82,89,CB,62,39,66,69,89,87,78,90,60,51,1.0,1.87
Casemiro,31,Brazil,185,84,89,CDM,63,75,79,73,89,88,88,88,61,79,1.0,1.85
Alisson,30,Brazil,193,91,89,GK,72,85,85,40,89,78,32,78,40,66,1.0,1.93
Vini Jr.,22,Brazil,176,73,89,LW,95,82,78,90,29,68,84,64,94,81,1.0,1.76
Ederson,29,Brazil,188,86,88,GK,75,87,91,60,86,78,44,78,60,70,0.0,1.88
P. Lahm,32,Germany,170,66,88,RB,68,56,82,84,86,64,79,59,82,82,1.0,1.7
J. Oblak,30,Slovenia,188,87,88,GK,66,83,78,64,86,78,42,78,64,67,1.0,1.88
Bruno Fernandes,28,Portugal,179,69,88,CAM,71,86,90,83,69,77,95,66,78,94,1.0,1.79
Bernardo Silva,28,Portugal,173,64,88,CM,69,78,86,92,70,69,93,54,95,87,0.0,1.73
J. Kimmich,28,Germany,177,75,88,CDM,70,74,88,84,82,79,94,68,84,85,1.0,1.77
V. Osimhen,24,Nigeria,185,78,88,ST,90,86,66,83,42,82,81,86,78,70,1.0,1.85
A. Griezmann,32,France,176,73,88,ST,80,88,87,88,58,75,86,69,89,88,0.0,1.76
F. Valverde,24,Uruguay,182,78,88,CM,88,82,84,84,80,82,89,80,77,86,1.0,1.82
L. Martínez,25,Argentina,174,72,87,ST,80,86,71,85,48,85,80,84,86,78,1.0,1.74
M. Neuer,37,Germany,193,93,87,GK,66,88,90,51,86,80,43,80,51,70,1.0,1.93
L. Modrić,37,Croatia,172,66,87,CM,72,76,89,87,72,66,83,58,92,91,1.0,1.72
H. Son,30,Korea Republic,183,78,87,LW,87,88,80,84,42,70,88,64,81,81,1.0,1.83
M. Maignan,27,France,191,89,87,GK,70,85,87,41,87,78,39,78,41,65,1.0,1.91
De Gea,31,Spain,192,76,87,GK,70,78,76,63,87,55,43,55,63,53,1.0,1.92
Marquinhos,29,Brazil,183,75,87,CB,78,56,75,74,89,80,83,78,68,76,1.0,1.83
G. Kobel,25,Switzerland,195,88,87,GK,66,78,74,37,87,81,30,81,37,59,1.0,1.95
M. Verratti,29,Italy,165,60,87,CM,60,61,87,91,79,66,75,53,90,89,1.0,1.65
S. Agüero,33,Argentina,173,70,87,ST,71,89,75,87,33,69,62,74,82,80,1.0,1.73
M. Ødegaard,24,Norway,178,68,87,CAM,72,81,88,87,61,64,81,56,85,89,0.0,1.78
F. de Jong,26,Netherlands,181,74,87,CM,82,69,86,87,77,78,89,74,87,88,1.0,1.81
G. Donnarumma,24,Italy,196,90,87,GK,70,80,79,64,87,72,34,72,64,60,1.0,1.96
İ. Gündoğan,32,Germany,180,80,86,CM,62,81,84,86,72,73,75,73,77,86,1.0,1.8
T. Kroos,33,Germany,183,76,86,CM,51,80,90,81,70,71,75,72,63,89,1.0,1.83
W. Szczęsny,33,Poland,195,90,86,GK,68,77,73,55,86,65,45,65,55,48,1.0,1.95
Rafael Leão,24,Portugal,188,81,86,LW,93,80,75,87,27,76,77,80,85,75,1.0,1.88
Parejo,34,Spain,182,74,86,CM,49,83,90,80,73,69,75,70,62,90,1.0,1.82
P. Dybala,29,Argentina,177,75,86,CF,80,85,85,90,40,60,72,60,88,91,0.0,1.77
R. Mahrez,32,Algeria,179,67,86,RW,79,81,81,89,38,60,75,57,91,84,0.0,1.79
B. Saka,21,England,178,65,86,RW,85,81,79,87,60,70,84,63,85,83,0.0,1.78
M. de Ligt,23,Netherlands,189,89,86,CB,66,61,64,68,85,86,75,91,53,45,1.0,1.89
S. Tonali,23,Italy,181,79,86,CDM,84,74,81,81,82,84,86,82,81,79,1.0,1.81
N. Barella,26,Italy,175,68,86,CM,78,78,82,85,78,80,94,73,90,83,1.0,1.75
R. Araujo,24,Uruguay,188,79,86,CB,79,51,65,62,86,84,73,87,56,59,1.0,1.88
N. Kanté,32,France,168,70,86,CDM,69,65,73,80,85,77,84,70,78,77,1.0,1.68
S. Milinković-Savić,28,Serbia,192,95,86,CM,68,80,82,82,79,86,91,87,62,83,1.0,1.92
J. Bellingham,20,England,186,75,86,CM,76,78,80,85,78,82,93,75,81,84,1.0,1.86
A. Robertson,29,Scotland,178,64,86,LB,80,61,82,81,81,77,95,65,75,82,0.0,1.78
T. Alexander-Arnold,24,England,180,69,86,RB,76,69,90,79,80,73,89,66,72,90,1.0,1.8
S. Mané,31,Senegal,174,69,86,CF,85,83,79,87,44,74,79,70,87,83,1.0,1.74
João Cancelo,29,Portugal,182,74,86,LB,81,73,85,84,80,72,88,62,79,85,1.0,1.82
