name,age,nationality,height_cm,weight_kg,overall,position,pace,shooting,passing,dribbling,defending,physical,stamina,strength,agility,vision,preferred_foot_encoded,height_cm_norm,position_encoded
K. Mbappé,24,France,182,75,91,ST,97,90,80,92,36,78,88,77,93,83,1.0,1.82,10
E. Haaland,22,Norway,195,94,91,ST,89,93,66,80,45,88,76,93,76,74,0.0,1.95,10
K. De Bruyne,32,Belgium,181,75,91,CM,72,88,94,87,65,78,88,74,74,95,1.0,1.81,4
K. Benzema,35,France,185,81,90,CF,79,88,83,87,39,78,82,82,77,90,1.0,1.85,3
L. Messi,36,Argentina,169,67,90,CF,80,87,90,94,33,64,70,68,91,92,0.0,1.69,3
R. Lewandowski,34,Poland,185,81,90,ST,75,91,80,87,44,84,76,89,77,81,1.0,1.85,10
T. Courtois,31,Belgium,199,96,90,GK,70,81,76,63,90,70,38,70,63,44,0.0,1.99,5
H. Kane,29,England,188,85,90,ST,69,93,84,83,49,83,83,84,66,87,1.0,1.88,10
V. van Dijk,31,Netherlands,193,92,89,CB,78,60,71,72,89,86,72,93,59,65,1.0,1.93,1
M. ter Stegen,31,Germany,187,85,89,GK,69,87,89,39,88,78,35,78,39,70,1.0,1.87,5
Neymar Jr,31,Brazil,175,68,89,LW,86,83,85,93,37,61,78,51,93,90,1.0,1.75,7
M. Salah,31,Egypt,175,71,89,RW,89,87,81,88,45,76,87,75,89,84,0.0,1.75,9
Rodri,27,Spain,191,82,89,CDM,58,73,80,80,85,84,89,83,65,82,1.0,1.91,2
Rúben Dias,26,Portugal,187,82,89,CB,62,39,66,69,89,87,78,90,60,51,1.0,1.87,1
Casemiro,31,Brazil,185,84,89,CDM,63,75,79,73,89,88,88,88,61,79,1.0,1.85,2
Alisson,30,Brazil,193,91,89,GK,72,85,85,40,89,78,32,78,40,66,1.0,1.93,5
Vini Jr.,22,Brazil,176,73,89,LW,95,82,78,90,29,68,84,64,94,81,1.0,1.76,7
Ederson,29,Brazil,188,86,88,GK,75,87,91,60,86,78,44,78,60,70,0.0,1.88,5
P. Lahm,32,Germany,170,66,88,RB,68,56,82,84,86,64,79,59,82,82,1.0,1.7,8
J. Oblak,30,Slovenia,188,87,88,GK,66,83,78,64,86,78,42,78,64,67,1.0,1.88,5
Bruno Fernandes,28,Portugal,179,69,88,CAM,71,86,90,83,69,77,95,66,78,94,1.0,1.79,0
Bernardo Silva,28,Portugal,173,64,88,CM,69,78,86,92,70,69,93,54,95,87,0.0,1.73,4
J. Kimmich,28,Germany,177,75,88,CDM,70,74,88,84,82,79,94,68,84,85,1.0,1.77,2
V. Osimhen,24,Nigeria,185,78,88,ST,90,86,66,83,42,82,81,86,78,70,1.0,1.85,10
A. Griezmann,32,France,176,73,88,ST,80,88,87,88,58,75,86,69,89,88,0.0,1.76,10
F. Valverde,24,Uruguay,182,78,88,CM,88,82,84,84,80,82,89,80,77,86,1.0,1.82,4
L. Martínez,25,Argentina,174,72,87,ST,80,86,71,85,48,85,80,84,86,78,1.0,1.74,10
M. Neuer,37,Germany,193,93,87,GK,66,88,90,51,86,80,43,80,51,70,1.0,1.93,5
L. Modrić,37,Croatia,172,66,87,CM,72,76,89,87,72,66,83,58,92,91,1.0,1.72,4
H. Son,30,Korea Republic,183,78,87,LW,87,88,80,84,42,70,88,64,81,81,1.0,1.83,7
M. Maignan,27,France,191,89,87,GK,70,85,87,41,87,78,39,78,41,65,1.0,1.91,5
De Gea,31,Spain,192,76,87,GK,70,78,76,63,87,55,43,55,63,53,1.0,1.92,5
Marquinhos,29,Brazil,183,75,87,CB,78,56,75,74,89,80,83,78,68,76,1.0,1.83,1
G. Kobel,25,Switzerland,195,88,87,GK,66,78,74,37,87,81,30,81,37,59,1.0,1.95,5
M. Verratti,29,Italy,165,60,87,CM,60,61,87,91,79,66,75,53,90,89,1.0,1.65,4
S. Agüero,33,Argentina,173,70,87,ST,71,89,75,87,33,69,62,74,82,80,1.0,1.73,10
M. Ødegaard,24,Norway,178,68,87,CAM,72,81,88,87,61,64,81,56,85,89,0.0,1.78,0
F. de Jong,26,Netherlands,181,74,87,CM,82,69,86,87,77,78,89,74,87,88,1.0,1.81,4
G. Donnarumma,24,Italy,196,90,87,GK,70,80,79,64,87,72,34,72,64,60,1.0,1.96,5
İ. Gündoğan,32,Germany,180,80,86,CM,62,81,84,86,72,73,75,73,77,86,1.0,1.8,4
T. Kroos,33,Germany,183,76,86,CM,51,80,90,81,70,71,75,72,63,89,1.0,1.83,4
W. Szczęsny,33,Poland,195,90,86,GK,68,77,73,55,86,65,45,65,55,48,1.0,1.95,5
Rafael Leão,24,Portugal,188,81,86,LW,93,80,75,87,27,76,77,80,85,75,1.0,1.88,7
Parejo,34,Spain,182,74,86,CM,49,83,90,80,73,69,75,70,62,90,1.0,1.82,4
P. Dybala,29,Argentina,177,75,86,CF,80,85,85,90,40,60,72,60,88,91,0.0,1.77,3
R. Mahrez,32,Algeria,179,67,86,RW,79,81,81,89,38,60,75,57,91,84,0.0,1.79,9
B. Saka,21,England,178,65,86,RW,85,81,79,87,60,70,84,63,85,83,0.0,1.78,9
M. de Ligt,23,Netherlands,189,89,86,CB,66,61,64,68,85,86,75,91,53,45,1.0,1.89,1
S. Tonali,23,Italy,181,79,86,CDM,84,74,81,81,82,84,86,82,81,79,1.0,1.81,2
N. Barella,26,Italy,175,68,86,CM,78,78,82,85,78,80,94,73,90,83,1.0,1.75,4
R. Araujo,24,Uruguay,188,79,86,CB,79,51,65,62,86,84,73,87,56,59,1.0,1.88,1
N. Kanté,32,France,168,70,86,CDM,69,65,73,80,85,77,84,70,78,77,1.0,1.68,2
S. Milinković-Savić,28,Serbia,192,95,86,CM,68,80,82,82,79,86,91,87,62,83,1.0,1.92,4
J. Bellingham,20,England,186,75,86,CM,76,78,80,85,78,82,93,75,81,84,1.0,1.86,4
A. Robertson,29,Scotland,178,64,86,LB,80,61,82,81,81,77,95,65,75,82,0.0,1.78,6
T. Alexander-Arnold,24,England,180,69,86,RB,76,69,90,79,80,73,89,66,72,90,1.0,1.8,8
S. Mané,31,Senegal,174,69,86,CF,85,83,79,87,44,74,79,70,87,83,1.0,1.74,3
João Cancelo,29,Portugal,182,74,86,LB,81,73,85,84,80,72,88,62,79,85,1.0,1.82,6
Xavi,34,Spain,170,68,86,CM,66,72,91,85,60,58,60,60,79,94,1.0,1.7,4
C. Nkunku,25,France,175,73,86,CF,82,81,83,88,62,67,78,64,88,84,1.0,1.75,3
Cristiano Ronaldo,38,Portugal,187,85,86,ST,77,88,75,80,34,74,77,76,76,76,1.0,1.87,10
Éder Militão,25,Brazil,186,78,86,CB,85,50,69,71,86,82,85,79,70,59,1.0,1.86,1
Pedri,20,Spain,174,60,86,CM,78,69,82,88,70,74,87,73,88,88,1.0,1.74,4
J. Musiala,20,Germany,184,72,86,CAM,85,75,76,91,63,61,78,53,93,82,1.0,1.84,0
O. Dembélé,26,France,178,67,86,RW,93,77,81,87,36,57,68,52,90,83,0.0,1.78,9
K. Kvaratskhelia,22,Georgia,183,70,86,LW,84,80,81,87,41,71,79,70,85,86,1.0,1.83,7
M. Acuña,31,Argentina,172,69,85,LB,75,74,83,83,81,84,91,82,83,82,0.0,1.72,6
D. Berardi,28,Italy,183,72,85,RW,82,83,81,87,36,72,78,64,92,83,0.0,1.83,9
Y. Bounou,32,Morocco,195,78,85,GK,62,81,79,47,85,69,43,69,47,62,0.0,1.95,5
Iago Aspas,35,Spain,176,67,85,ST,81,85,79,86,35,64,69,60,87,81,0.0,1.76,10
C. Immobile,33,Italy,185,85,85,ST,85,87,68,78,39,74,73,74,75,71,1.0,1.85,10
K. Trapp,32,Germany,189,84,85,GK,66,79,77,42,85,75,45,75,42,46,1.0,1.89,5
K. Navas,36,Costa Rica,185,80,85,GK,70,77,75,60,85,75,39,75,60,64,1.0,1.85,5
A. Laporte,29,Spain,191,85,85,CB,61,50,73,69,86,78,67,82,57,68,0.0,1.91,1
Rodrygo,22,Brazil,174,64,85,RW,88,81,79,86,31,62,81,55,87,82,1.0,1.74,9
D. Rice,24,England,185,80,85,CDM,71,65,75,77,83,83,91,79,55,78,1.0,1.85,2
J. Stones,29,England,188,76,85,CB,72,52,75,77,85,77,74,77,66,78,1.0,1.88,1
Filipe Luís,32,Brazil,182,74,85,LB,75,62,78,78,81,79,89,74,75,70,0.0,1.82,6
G. Di Lorenzo,29,Italy,183,83,85,RB,85,67,75,79,82,82,90,78,78,66,1.0,1.83,8
K. Coman,27,France,181,75,85,LW,89,76,79,87,30,62,69,66,92,82,1.0,1.81,7
A. Onana,27,Cameroon,190,93,85,GK,73,85,88,66,84,79,38,79,66,64,1.0,1.9,5
K. Trippier,32,England,173,71,85,RB,68,65,86,79,82,72,85,64,66,85,1.0,1.73,8
Diogo Jota,26,Portugal,178,68,85,CF,82,82,75,85,57,77,79,71,86,78,1.0,1.78,3
T. Hernández,25,France,184,81,85,LB,93,71,76,81,78,84,90,81,78,73,0.0,1.84,6
F. Wirtz,20,Germany,177,71,85,CAM,74,76,83,87,52,63,83,53,86,88,1.0,1.77,0
H. Çalhanoğlu,29,Turkey,178,76,85,CM,67,80,86,85,70,66,80,55,83,88,1.0,1.78,4
R. Varane,30,France,191,81,85,CB,79,49,64,67,86,78,65,84,62,59,1.0,1.91,1
A. Bastoni,24,Italy,190,75,85,CB,73,35,72,73,86,83,81,83,58,69,0.0,1.9,1
E. Martínez,30,Argentina,195,88,85,GK,72,82,82,49,84,70,40,70,49,66,1.0,1.95,5
A. Rüdiger,30,Germany,190,85,85,CB,82,54,71,66,84,86,70,91,56,61,1.0,1.9,1
P. Foden,23,England,171,69,85,LW,81,79,82,88,57,60,83,47,91,84,0.0,1.71,7
L. Goretzka,28,Germany,189,82,85,CM,78,81,81,83,80,86,83,89,75,82,1.0,1.89,4
J. Grealish,27,England,180,81,85,LW,76,76,84,88,53,73,83,71,84,87,1.0,1.8,7
M. Rashford,25,England,186,70,85,LW,90,86,78,84,42,74,76,73,81,79,1.0,1.86,7
J. Koundé,24,France,180,75,85,CB,84,45,68,75,86,80,78,80,71,62,1.0,1.8,1
D. Alaba,31,Austria,180,78,85,CB,79,71,83,80,85,77,73,78,76,78,0.0,1.8,1
C. Marchisio,31,Italy,180,73,85,CM,78,72,83,84,76,74,81,70,81,84,1.0,1.8,4
Y. Brahimi,28,Algeria,175,66,85,LW,80,75,78,90,41,59,85,49,92,79,1.0,1.75,7
P. Pogba,29,France,191,84,85,CM,67,80,85,85,62,80,65,88,71,90,1.0,1.91,4
T. Partey,30,Ghana,185,77,85,CDM,68,71,82,80,81,82,79,84,63,85,1.0,1.85,2
N. Süle,27,Germany,195,99,84,CB,73,51,68,62,85,85,64,95,34,66,1.0,1.95,1
Rúben Neves,26,Portugal,183,83,84,CDM,60,75,86,77,76,73,79,67,68,87,1.0,1.83,2
Álex Remiro,28,Spain,192,79,84,GK,64,79,80,69,86,73,42,73,69,35,1.0,1.92,5
Raphinha,26,Brazil,176,68,84,RW,91,79,78,86,53,73,86,65,88,80,0.0,1.76,9
F. Chiesa,25,Italy,175,70,84,LW,91,82,76,86,53,75,85,70,89,77,1.0,1.75,7
Grimaldo,27,Spain,171,67,84,LB,87,69,83,84,76,72,90,63,84,84,0.0,1.71,6
M. Diaby,23,France,171,67,84,RW,95,73,75,86,42,59,82,44,92,77,0.0,1.71,9
Gabriel Martinelli,22,Brazil,178,75,84,LW,89,78,76,86,46,72,82,63,87,79,1.0,1.78,7
Bremer,26,Brazil,188,82,84,CB,80,50,56,65,85,83,76,85,65,45,1.0,1.88,1
L. Martínez,25,Argentina,178,77,84,CB,73,59,78,79,85,83,81,80,77,76,0.0,1.78,1
A. Hakimi,24,Morocco,181,73,84,RB,92,75,80,80,75,78,92,72,83,78,1.0,1.81,8
K. Walker,33,England,183,83,84,RB,90,63,77,78,79,81,81,80,66,69,1.0,1.83,8
Thiago,32,Spain,174,70,84,CM,61,72,86,89,71,67,70,60,90,86,1.0,1.74,4
K. Casteels,31,Belgium,197,86,84,GK,66,79,77,50,85,72,44,72,50,42,0.0,1.97,5
Gabriel,25,Brazil,190,87,84,CB,70,41,62,60,85,82,71,86,51,59,0.0,1.9,1
S. Lobotka,28,Slovakia,170,64,84,CM,71,70,81,83,77,75,85,71,77,85,1.0,1.7,4
P. Højbjerg,27,Denmark,187,84,84,CDM,55,73,78,78,81,82,87,78,62,75,1.0,1.87,2
Marcos Llorente,28,Spain,184,74,84,RW,89,78,79,80,78,81,91,77,83,81,1.0,1.84,9
L. Sané,27,Germany,183,80,84,RW,91,81,80,85,38,68,70,66,87,79,0.0,1.83,9
Kim Min Jae,26,Korea Republic,190,86,84,CB,80,33,58,64,85,84,77,88,65,57,1.0,1.9,1
